stage,stage_index,stage_attempt,global_step,episode,n_agents,width,height,n_targets,n_obstacles,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,food_source_respawns,food_units_remaining,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,swarm_efficiency
stage1a_single_agent_miniscule,1,1,120,1,1,50,50,1,0,-4.387572765350342,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,164,2,1,50,50,1,0,190.82098388671875,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,44,41,41,0,0.09090909090909091
stage1a_single_agent_miniscule,1,1,284,3,1,50,50,1,0,-3.4101970195770264,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,335,4,1,50,50,1,0,190.73007202148438,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,51,48,48,0,0.0784313725490196
stage1a_single_agent_miniscule,1,1,455,5,1,50,50,1,0,91.71205139160156,2.0,2.0,2.0,0.3333333333333333,0.0,0,0,2,120,116,116,0,0.016666666666666666
stage1a_single_agent_miniscule,1,1,575,6,1,50,50,1,0,92.81037902832031,2.0,2.0,2.0,0.3333333333333333,0.0,0,0,2,120,93,93,0,0.016666666666666666
stage1a_single_agent_miniscule,1,1,695,7,1,50,50,1,0,-2.969879627227783,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,803,8,1,50,50,1,0,188.194580078125,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,108,81,81,0,0.037037037037037035
stage1a_single_agent_miniscule,1,1,923,9,1,50,50,1,0,-3.281764030456543,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,1043,10,1,50,50,1,0,-1.3671960830688477,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,1163,11,1,50,50,1,0,-2.9415550231933594,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,1283,12,1,50,50,1,0,-4.290197849273682,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,1403,13,1,50,50,1,0,-2.5398361682891846,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,1442,14,1,50,50,1,0,190.57199096679688,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,39,36,36,0,0.10256410256410256
stage1a_single_agent_miniscule,1,1,1562,15,1,50,50,1,0,-3.0114452838897705,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,1585,16,1,50,50,1,0,191.546875,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,23,20,20,0,0.17391304347826086
stage1a_single_agent_miniscule,1,1,1589,17,1,50,50,1,0,191.72073364257812,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0
stage1a_single_agent_miniscule,1,1,1682,18,1,50,50,1,0,190.41043090820312,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,93,90,90,0,0.043010752688172046
stage1a_single_agent_miniscule,1,1,1802,19,1,50,50,1,0,-1.8196768760681152,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
