stage,stage_index,global_step,episode,n_agents,width,height,n_targets,n_obstacles,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,food_source_respawns,food_units_remaining,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,swarm_efficiency
stage1a_single_agent_very_tiny,1,106,1,1,50,50,1,0,126.93701934814453,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,106,91,91,0,0.03773584905660377
stage1a_single_agent_very_tiny,1,123,2,1,50,50,1,0,147.275634765625,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,17,14,14,0,0.23529411764705882
stage1a_single_agent_very_tiny,1,212,3,1,50,50,1,0,137.532470703125,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,89,86,86,0,0.0449438202247191
stage1a_single_agent_very_tiny,1,216,4,1,50,50,1,0,148.94000244140625,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0
stage1a_single_agent_very_tiny,1,249,5,1,50,50,1,0,142.69769287109375,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,33,25,25,0,0.12121212121212122
stage1a_single_agent_very_tiny,1,281,6,1,50,50,1,0,145.70486450195312,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,32,29,29,0,0.125
stage1a_single_agent_very_tiny,1,314,7,1,50,50,1,0,144.3399200439453,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,33,30,30,0,0.12121212121212122
stage1a_single_agent_very_tiny,1,412,8,1,50,50,1,0,128.54071044921875,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,98,95,95,0,0.04081632653061224
stage1a_single_agent_very_tiny,1,525,9,1,50,50,1,0,122.04410552978516,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,113,108,108,0,0.035398230088495575
stage1a_single_agent_very_tiny,1,645,10,1,50,50,1,0,52.382015228271484,2.0,2.0,2.0,0.4444444444444444,0.0,0,0,2,120,43,43,0,0.016666666666666666
stage1a_single_agent_very_tiny,1,689,11,1,50,50,1,0,145.68759155273438,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,44,41,41,0,0.09090909090909091
stage1a_single_agent_very_tiny,1,809,12,1,50,50,1,0,-30.96917152404785,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_very_tiny,1,918,13,1,50,50,1,0,134.68821716308594,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,109,105,105,0,0.03669724770642202
stage1a_single_agent_very_tiny,1,1038,14,1,50,50,1,0,20.3499813079834,1.0,1.0,1.0,0.4444444444444444,0.0,0,0,3,120,24,24,0,0.008333333333333333
stage1a_single_agent_very_tiny,1,1063,15,1,50,50,1,0,148.66000366210938,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,25,22,22,0,0.16
stage1a_single_agent_very_tiny,1,1067,16,1,50,50,1,0,151.94998168945312,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0
stage1a_single_agent_very_tiny,1,1183,17,1,50,50,1,0,120.62547302246094,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,116,52,52,0,0.034482758620689655
stage1a_single_agent_very_tiny,1,1303,18,1,50,50,1,0,-25.251245498657227,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_very_tiny,1,1423,19,1,50,50,1,0,-23.788227081298828,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_very_tiny,1,1481,20,1,50,50,1,0,139.32034301757812,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,58,55,55,0,0.06896551724137931
stage1a_single_agent_very_tiny,1,1506,21,1,50,50,1,0,144.16574096679688,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,25,19,19,0,0.16
stage1a_single_agent_very_tiny,1,1626,22,1,50,50,1,0,-31.156152725219727,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_very_tiny,1,1693,23,1,50,50,1,0,139.37356567382812,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,67,64,64,0,0.05970149253731343
stage1a_single_agent_very_tiny,1,1697,24,1,50,50,1,0,150.439208984375,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0
stage1a_single_agent_very_tiny,1,1807,25,1,50,50,1,0,125.18733215332031,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,110,52,52,0,0.03636363636363636
stage1a_single_agent_very_tiny,1,1811,26,1,50,50,1,0,150.44000244140625,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0
stage1a_single_agent_very_tiny,1,1931,27,1,50,50,1,0,84.4959487915039,3.0,3.0,3.0,0.4444444444444444,0.0,0,0,1,120,29,29,0,0.025
stage1a_single_agent_very_tiny,1,1986,28,1,50,50,1,0,137.86282348632812,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,55,52,52,0,0.07272727272727272
stage1a_single_agent_very_tiny,1,2106,29,1,50,50,1,0,-27.085947036743164,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_very_tiny,1,2187,30,1,50,50,1,0,133.16554260253906,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,81,77,77,0,0.04938271604938271
stage1a_single_agent_very_tiny,1,2307,31,1,50,50,1,0,-29.658206939697266,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_very_tiny,1,2388,32,1,50,50,1,0,132.99374389648438,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,81,61,61,0,0.04938271604938271
stage1a_single_agent_very_tiny,1,2472,33,1,50,50,1,0,122.593505859375,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,84,78,78,0,0.047619047619047616
stage1a_single_agent_very_tiny,1,2592,34,1,50,50,1,0,-22.610027313232422,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_very_tiny,1,2649,35,1,50,50,1,0,131.72357177734375,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,57,54,54,0,0.07017543859649122
stage1a_single_agent_very_tiny,1,2769,36,1,50,50,1,0,50.445560455322266,2.0,2.0,2.0,0.4444444444444444,0.0,0,0,2,120,92,92,0,0.016666666666666666
stage1a_single_agent_very_tiny,1,2794,37,1,50,50,1,0,148.67803955078125,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,25,22,22,0,0.16
stage1a_single_agent_very_tiny,1,2798,38,1,50,50,1,0,150.43922424316406,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0
