stage,stage_index,global_step,episode,n_agents,width,height,n_targets,n_obstacles,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,swarm_efficiency
stage1a_single_agent_tiny,1,120,1,1,220,220,1,0,-8.928215026855469,0.0,0.0,0.0,0.12,0.4932083918363787,66,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,240,2,1,220,220,1,0,-12.984586715698242,0.0,0.0,0.0,0.25,0.3103811241948279,56,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,360,3,1,220,220,1,0,-13.469956398010254,0.0,0.0,0.0,0.1,0.5308792839137216,68,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,480,4,1,220,220,1,0,-8.911487579345703,0.0,0.0,0.0,0.14,0.44612718558249376,55,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,600,5,1,220,220,1,0,-4.10745906829834,0.0,0.0,0.0,0.18,0.38340992472076324,58,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,720,6,1,220,220,1,0,-3.846237897872925,0.0,0.0,0.0,0.2,0.33794010304263794,70,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,840,7,1,220,220,1,0,-19.263957977294922,0.0,0.0,0.0,0.12,0.3751677948942718,61,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,960,8,1,220,220,1,0,-13.215738296508789,0.0,0.0,0.0,0.13,0.4184165317914449,58,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,970,9,1,220,220,1,0,7.920865058898926,1.0,1.0,0.0,0.04,0.21470914483070375,6,10,9,-1,-1,0.0
stage1a_single_agent_tiny,1,1090,10,1,220,220,1,0,-16.48575782775879,0.0,0.0,0.0,0.1,0.46810395548818634,60,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,1210,11,1,220,220,1,0,-13.605426788330078,0.0,0.0,0.0,0.09,0.5131497042292419,68,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,1330,12,1,220,220,1,0,-4.3899149894714355,0.0,0.0,0.0,0.14,0.5417646433401387,66,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,1450,13,1,220,220,1,0,-4.2736945152282715,0.0,0.0,0.0,0.14,0.5355824312816063,54,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,1498,14,1,220,220,1,0,7.580593109130859,1.0,1.0,0.0,0.09,0.38854378831456415,32,48,47,-1,-1,0.0
stage1a_single_agent_tiny,1,1538,15,1,220,220,1,0,7.673717498779297,1.0,1.0,0.0,0.07,0.38968449578387665,24,40,39,-1,-1,0.0
stage1a_single_agent_tiny,1,1658,16,1,220,220,1,0,-16.055496215820312,0.0,0.0,0.0,0.15,0.42099459647530846,63,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,1762,17,1,220,220,1,0,5.298530578613281,1.0,1.0,0.0,0.11,0.533659024132738,45,104,103,-1,-1,0.0
stage1a_single_agent_tiny,1,1882,18,1,220,220,1,0,-21.014625549316406,0.0,0.0,0.0,0.1,0.3406261987557324,54,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,2002,19,1,220,220,1,0,-2.8076977729797363,0.0,0.0,0.0,0.11,0.5007313858096798,58,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,2122,20,1,220,220,1,0,-10.250499725341797,0.0,0.0,0.0,0.08,0.5184430959692691,60,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,2242,21,1,220,220,1,0,-5.326516628265381,0.0,0.0,0.0,0.12,0.44569882384579007,52,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,2362,22,1,220,220,1,0,-13.240090370178223,0.0,0.0,0.0,0.11,0.48029991709142145,56,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,2482,23,1,220,220,1,0,-1.333032250404358,0.0,0.0,0.0,0.17,0.3550366431668711,58,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,2602,24,1,220,220,1,0,-11.271930694580078,0.0,0.0,0.0,0.12,0.38985964994644745,64,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,2722,25,1,220,220,1,0,-21.005090713500977,0.0,0.0,0.0,0.03,0.5681294686083371,65,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,2842,26,1,220,220,1,0,-10.236412048339844,0.0,0.0,0.0,0.12,0.4327758246625308,59,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,2962,27,1,220,220,1,0,-14.67794418334961,0.0,0.0,0.0,0.2,0.3339251688312894,50,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,3082,28,1,220,220,1,0,-2.733262062072754,0.0,0.0,0.0,0.15,0.45227048895467303,56,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,3202,29,1,220,220,1,0,-6.748845100402832,0.0,0.0,0.0,0.21,0.35435428097456073,58,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,3322,30,1,220,220,1,0,-1.119919776916504,0.0,0.0,0.0,0.12,0.40488457794417626,62,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,3442,31,1,220,220,1,0,-2.1014668941497803,0.0,0.0,0.0,0.23,0.3267892727123884,64,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,3562,32,1,220,220,1,0,-11.83414077758789,0.0,0.0,0.0,0.07,0.6399431708346431,67,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,3682,33,1,220,220,1,0,-11.189606666564941,0.0,0.0,0.0,0.21,0.34278987100406083,64,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,3769,34,1,220,220,1,0,7.293168067932129,1.0,1.0,0.0,0.15,0.292700772152293,43,87,86,-1,-1,0.0
stage1a_single_agent_tiny,1,3889,35,1,220,220,1,0,-10.36259937286377,0.0,0.0,0.0,0.15,0.40632639999870057,69,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4009,36,1,220,220,1,0,-10.371415138244629,0.0,0.0,0.0,0.12,0.33532009638729504,40,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4129,37,1,220,220,1,0,-11.528169631958008,0.0,0.0,0.0,0.11,0.45152451798785476,61,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4204,38,1,220,220,1,0,5.991634845733643,1.0,1.0,0.0,0.15,0.24971489230170846,43,75,74,-1,-1,0.0
stage1a_single_agent_tiny,1,4324,39,1,220,220,1,0,-1.185845971107483,0.0,0.0,0.0,0.14,0.3851032550155651,58,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4444,40,1,220,220,1,0,-13.384236335754395,0.0,0.0,0.0,0.15,0.4292375222197734,51,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4564,41,1,220,220,1,0,-4.357418537139893,0.0,0.0,0.0,0.14,0.4426516918077444,65,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4684,42,1,220,220,1,0,-7.3802080154418945,0.0,0.0,0.0,0.08,0.538379458427274,74,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4804,43,1,220,220,1,0,-12.035400390625,0.0,0.0,0.0,0.14,0.41604304854408836,59,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4924,44,1,220,220,1,0,-6.987884998321533,0.0,0.0,0.0,0.14,0.371911787589003,68,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4961,45,1,220,220,1,0,6.206752300262451,1.0,1.0,0.0,0.07,0.2941838565559403,25,37,36,-1,-1,0.0
stage1a_single_agent_tiny,1,5081,46,1,220,220,1,0,-5.373490333557129,0.0,0.0,0.0,0.14,0.352730300630598,56,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,5143,47,1,220,220,1,0,2.912349224090576,1.0,1.0,0.0,0.1,0.23638402673626138,22,62,61,-1,-1,0.0
stage1a_single_agent_tiny,1,5263,48,1,220,220,1,0,-7.421253204345703,0.0,0.0,0.0,0.06,0.5113240039000326,66,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,5383,49,1,220,220,1,0,-10.376150131225586,0.0,0.0,0.0,0.08,0.5669194257624137,71,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,5503,50,1,220,220,1,0,-5.476844787597656,0.0,0.0,0.0,0.18,0.3689847591003248,71,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,5556,51,1,220,220,1,0,7.495288848876953,1.0,1.0,0.0,0.12,0.4314862338975423,36,53,52,-1,-1,0.0
stage1a_single_agent_tiny,1,5676,52,1,220,220,1,0,-10.227302551269531,0.0,0.0,0.0,0.12,0.572265189125513,80,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,5796,53,1,220,220,1,0,-0.9759902358055115,0.0,0.0,0.0,0.15,0.5817872357477124,72,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,5916,54,1,220,220,1,0,-1.6282602548599243,0.0,0.0,0.0,0.04,0.8091489555624624,88,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,6036,55,1,220,220,1,0,-5.724664211273193,0.0,0.0,0.0,0.12,0.5735806658708801,86,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,6156,56,1,220,220,1,0,-0.9988293051719666,0.0,0.0,0.0,0.09,0.7210950133778776,86,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,6276,57,1,220,220,1,0,-5.839341163635254,0.0,0.0,0.0,0.04,0.76501568860452,81,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,6396,58,1,220,220,1,0,-2.8807716369628906,0.0,0.0,0.0,0.06,0.7250967579234081,79,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,6516,59,1,220,220,1,0,-2.997483968734741,0.0,0.0,0.0,0.05,0.6967962752406796,92,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,6636,60,1,220,220,1,0,-1.0104148387908936,0.0,0.0,0.0,0.11,0.6446647357855303,84,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,6756,61,1,220,220,1,0,-2.6827914714813232,0.0,0.0,0.0,0.04,0.8411266940956315,88,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,6876,62,1,220,220,1,0,-4.339902877807617,0.0,0.0,0.0,0.05,0.7414142772865792,99,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,6996,63,1,220,220,1,0,-5.566910743713379,0.0,0.0,0.0,0.14,0.5741787929475929,84,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,7116,64,1,220,220,1,0,-0.8085631132125854,0.0,0.0,0.0,0.09,0.6059175856411457,78,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,7236,65,1,220,220,1,0,-1.52151358127594,0.0,0.0,0.0,0.05,0.7579290939029306,82,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,7356,66,1,220,220,1,0,-0.9316795468330383,0.0,0.0,0.0,0.12,0.5933984304390226,68,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,7476,67,1,220,220,1,0,-1.4769537448883057,0.0,0.0,0.0,0.06,0.7368728069704957,94,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,7514,68,1,220,220,1,0,6.176063060760498,1.0,1.0,0.0,0.05,0.4419230960759849,22,38,37,-1,-1,0.0
stage1a_single_agent_tiny,1,7519,69,1,220,220,1,0,7.9767537117004395,1.0,1.0,0.0,0.03,0.0,2,5,4,-1,-1,0.0
stage1a_single_agent_tiny,1,7639,70,1,220,220,1,0,-4.079411506652832,0.0,0.0,0.0,0.19,0.3366203708884617,63,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,7759,71,1,220,220,1,0,-3.7597718238830566,0.0,0.0,0.0,0.12,0.36799527643015606,58,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,7879,72,1,220,220,1,0,-7.708001136779785,0.0,0.0,0.0,0.07,0.5816953220812138,68,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,7999,73,1,220,220,1,0,-5.534615993499756,0.0,0.0,0.0,0.23,0.3464822296945689,59,120,-1,-1,-1,0.0
