stage,stage_index,global_step,episode,n_agents,width,height,n_targets,n_obstacles,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,swarm_efficiency
stage1a_single_agent_tiny,1,120,1,1,220,220,1,0,-8.90381145477295,0.0,0.0,0.0,0.12,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,240,2,1,220,220,1,0,-8.501688003540039,0.0,0.0,0.0,0.24,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,360,3,1,220,220,1,0,-13.458843231201172,0.0,0.0,0.0,0.1,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,480,4,1,220,220,1,0,-2.506492853164673,0.0,0.0,0.0,0.24,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,600,5,1,220,220,1,0,-11.652145385742188,0.0,0.0,0.0,0.16,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,720,6,1,220,220,1,0,-13.358455657958984,0.0,0.0,0.0,0.15,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,840,7,1,220,220,1,0,-19.28064727783203,0.0,0.0,0.0,0.12,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,960,8,1,220,220,1,0,-11.693979263305664,0.0,0.0,0.0,0.17,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,970,9,1,220,220,1,0,7.925865650177002,1.0,1.0,0.0,0.04,0.0,1,10,9,-1,-1,0.0
stage1a_single_agent_tiny,1,1090,10,1,220,220,1,0,-8.910491943359375,0.0,0.0,0.0,0.11,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,1210,11,1,220,220,1,0,-8.797477722167969,0.0,0.0,0.0,0.14,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,1314,12,1,220,220,1,0,5.344789028167725,1.0,1.0,0.0,0.12,0.0,0,104,103,-1,-1,0.0
stage1a_single_agent_tiny,1,1434,13,1,220,220,1,0,-10.690023422241211,0.0,0.0,0.0,0.05,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,1498,14,1,220,220,1,0,7.415079116821289,1.0,1.0,0.0,0.1,0.0,0,64,63,-1,-1,0.0
stage1a_single_agent_tiny,1,1538,15,1,220,220,1,0,7.6947021484375,1.0,1.0,0.0,0.07,0.0,0,40,39,-1,-1,0.0
stage1a_single_agent_tiny,1,1658,16,1,220,220,1,0,-14.557538986206055,0.0,0.0,0.0,0.13,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,1778,17,1,220,220,1,0,-2.75050687789917,0.0,0.0,0.0,0.1,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,1898,18,1,220,220,1,0,-8.401938438415527,0.0,0.0,0.0,0.22,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,2018,19,1,220,220,1,0,-4.392875671386719,0.0,0.0,0.0,0.13,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,2138,20,1,220,220,1,0,-15.011039733886719,0.0,0.0,0.0,0.07,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,2258,21,1,220,220,1,0,-8.838066101074219,0.0,0.0,0.0,0.07,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,2371,22,1,220,220,1,0,-4.851126670837402,1.0,1.0,0.0,0.11,0.0,0,113,112,-1,-1,0.0
stage1a_single_agent_tiny,1,2491,23,1,220,220,1,0,-13.247447967529297,0.0,0.0,0.0,0.13,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,2598,24,1,220,220,1,0,0.8036112785339355,1.0,1.0,0.0,0.11,0.0,0,107,106,-1,-1,0.0
stage1a_single_agent_tiny,1,2706,25,1,220,220,1,0,0.8294317722320557,1.0,1.0,0.0,0.07,0.0,0,108,107,-1,-1,0.0
stage1a_single_agent_tiny,1,2826,26,1,220,220,1,0,-5.646056652069092,0.0,0.0,0.0,0.25,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,2946,27,1,220,220,1,0,-14.603240013122559,0.0,0.0,0.0,0.17,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,3066,28,1,220,220,1,0,-11.594270706176758,0.0,0.0,0.0,0.19,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,3099,29,1,220,220,1,0,4.66976261138916,1.0,1.0,0.0,0.07,0.0,0,33,32,-1,-1,0.0
stage1a_single_agent_tiny,1,3219,30,1,220,220,1,0,-7.201162815093994,0.0,0.0,0.0,0.15,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,3339,31,1,220,220,1,0,-9.940101623535156,0.0,0.0,0.0,0.14,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,3459,32,1,220,220,1,0,-3.9493441581726074,0.0,0.0,0.0,0.25,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,3579,33,1,220,220,1,0,-1.0257230997085571,0.0,0.0,0.0,0.14,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,3699,34,1,220,220,1,0,-10.018424034118652,0.0,0.0,0.0,0.1,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,3819,35,1,220,220,1,0,-7.480007648468018,0.0,0.0,0.0,0.15,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,3889,36,1,220,220,1,0,7.442979335784912,1.0,1.0,0.0,0.15,0.0,0,70,69,-1,-1,0.0
stage1a_single_agent_tiny,1,4009,37,1,220,220,1,0,-8.651246070861816,0.0,0.0,0.0,0.17,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4129,38,1,220,220,1,0,-7.276890754699707,0.0,0.0,0.0,0.11,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4249,39,1,220,220,1,0,-5.076227188110352,0.0,0.0,0.0,0.22,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4369,40,1,220,220,1,0,-25.660030364990234,0.0,0.0,0.0,0.08,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4489,41,1,220,220,1,0,-1.2864129543304443,0.0,0.0,0.0,0.1,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4609,42,1,220,220,1,0,-7.510004997253418,0.0,0.0,0.0,0.12,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4729,43,1,220,220,1,0,-1.5899989604949951,0.0,0.0,0.0,0.08,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4849,44,1,220,220,1,0,-2.3332016468048096,0.0,0.0,0.0,0.26,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4880,45,1,220,220,1,0,7.907133102416992,1.0,1.0,0.0,0.04,0.0,0,31,30,-1,-1,0.0
stage1a_single_agent_tiny,1,4930,46,1,220,220,1,0,6.122222423553467,1.0,1.0,0.0,0.11,0.0,1,50,49,-1,-1,0.0
stage1a_single_agent_tiny,1,5050,47,1,220,220,1,0,-13.300577163696289,0.0,0.0,0.0,0.1,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,5134,48,1,220,220,1,0,-12.491241455078125,1.0,1.0,0.0,0.05,0.0,0,84,83,-1,-1,0.0
stage1a_single_agent_tiny,1,5254,49,1,220,220,1,0,-13.420032501220703,0.0,0.0,0.0,0.1,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,5374,50,1,220,220,1,0,-1.067778468132019,0.0,0.0,0.0,0.13,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,5461,51,1,220,220,1,0,5.474757671356201,1.0,1.0,0.0,0.13,0.0,0,87,86,-1,-1,0.0
stage1a_single_agent_tiny,1,5581,52,1,220,220,1,0,-5.66342306137085,0.0,0.0,0.0,0.16,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,5701,53,1,220,220,1,0,-11.968605995178223,0.0,0.0,0.0,0.08,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,5725,54,1,220,220,1,0,3.331346035003662,1.0,1.0,0.0,0.03,0.0,0,24,23,-1,-1,0.0
stage1a_single_agent_tiny,1,5845,55,1,220,220,1,0,-4.212730407714844,0.0,0.0,0.0,0.13,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,5965,56,1,220,220,1,0,-5.630703926086426,0.0,0.0,0.0,0.19,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,6008,57,1,220,220,1,0,3.218266248703003,1.0,1.0,0.0,0.1,0.023255813953488372,1,43,42,-1,-1,0.0
stage1a_single_agent_tiny,1,6128,58,1,220,220,1,0,-7.174298286437988,0.0,0.0,0.0,0.13,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,6169,59,1,220,220,1,0,1.7062361240386963,1.0,1.0,0.0,0.08,0.0,0,41,40,-1,-1,0.0
stage1a_single_agent_tiny,1,6289,60,1,220,220,1,0,-18.070024490356445,0.0,0.0,0.0,0.11,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,6409,61,1,220,220,1,0,-3.890657663345337,0.0,0.0,0.0,0.16,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,6517,62,1,220,220,1,0,6.70189094543457,1.0,1.0,0.0,0.15,0.0,0,108,107,-1,-1,0.0
stage1a_single_agent_tiny,1,6637,63,1,220,220,1,0,-5.690413475036621,0.0,0.0,0.0,0.14,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,6757,64,1,220,220,1,0,-16.51747703552246,0.0,0.0,0.0,0.07,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,6877,65,1,220,220,1,0,-17.73363494873047,0.0,0.0,0.0,0.14,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,6997,66,1,220,220,1,0,-25.653791427612305,0.0,0.0,0.0,0.07,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,7117,67,1,220,220,1,0,-5.8212714195251465,0.0,0.0,0.0,0.17,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,7237,68,1,220,220,1,0,-5.331348419189453,0.0,0.0,0.0,0.19,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,7357,69,1,220,220,1,0,-4.163233280181885,0.0,0.0,0.0,0.08,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,7477,70,1,220,220,1,0,-10.339757919311523,0.0,0.0,0.0,0.08,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,7597,71,1,220,220,1,0,-7.257719993591309,0.0,0.0,0.0,0.17,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,7649,72,1,220,220,1,0,4.497048854827881,1.0,1.0,0.0,0.06,0.0,0,52,51,-1,-1,0.0
stage1a_single_agent_tiny,1,7769,73,1,220,220,1,0,-6.77988862991333,0.0,0.0,0.0,0.13,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,7889,74,1,220,220,1,0,-10.149035453796387,0.0,0.0,0.0,0.09,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,8007,75,1,220,220,1,0,3.8331222534179688,1.0,1.0,0.0,0.14,0.0,1,118,117,-1,-1,0.0
stage1a_single_agent_tiny,1,8127,76,1,220,220,1,0,-5.448525428771973,0.0,0.0,0.0,0.18,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,8247,77,1,220,220,1,0,-5.496809005737305,0.0,0.0,0.0,0.16,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,8367,78,1,220,220,1,0,-7.245717525482178,0.0,0.0,0.0,0.19,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,8487,79,1,220,220,1,0,-5.627313613891602,0.0,0.0,0.0,0.15,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,8607,80,1,220,220,1,0,-8.514267921447754,0.0,0.0,0.0,0.09,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,8727,81,1,220,220,1,0,-19.06934356689453,0.0,0.0,0.0,0.12,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,8823,82,1,220,220,1,0,1.1174023151397705,1.0,1.0,0.0,0.12,0.0008680555814256271,1,96,95,-1,-1,0.0
stage1a_single_agent_tiny,1,8926,83,1,220,220,1,0,2.509495258331299,1.0,1.0,0.0,0.11,0.0,0,103,102,-1,-1,0.0
stage1a_single_agent_tiny,1,9046,84,1,220,220,1,0,-7.231257915496826,0.0,0.0,0.0,0.12,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,9117,85,1,220,220,1,0,5.730790138244629,1.0,1.0,0.0,0.13,0.0,0,71,70,-1,-1,0.0
stage1a_single_agent_tiny,1,9237,86,1,220,220,1,0,-0.8174933195114136,0.0,0.0,0.0,0.16,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,9357,87,1,220,220,1,0,-3.963660955429077,0.0,0.0,0.0,0.17,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,9477,88,1,220,220,1,0,-5.73911190032959,0.0,0.0,0.0,0.13,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,9597,89,1,220,220,1,0,-0.8789882659912109,0.0,0.0,0.0,0.15,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,9717,90,1,220,220,1,0,-16.480419158935547,0.0,0.0,0.0,0.09,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,9825,91,1,220,220,1,0,2.2857935428619385,1.0,1.0,0.0,0.11,0.0,0,108,107,-1,-1,0.0
stage1a_single_agent_tiny,1,9945,92,1,220,220,1,0,-2.5242063999176025,0.0,0.0,0.0,0.14,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,9969,93,1,220,220,1,0,7.7533183097839355,1.0,1.0,0.0,0.05,0.0,0,24,23,-1,-1,0.0
stage1a_single_agent_tiny,1,10089,94,1,220,220,1,0,-3.9336211681365967,0.0,0.0,0.0,0.12,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,10209,95,1,220,220,1,0,-5.561716556549072,0.0,0.0,0.0,0.19,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,10329,96,1,220,220,1,0,-6.984344005584717,0.0,0.0,0.0,0.25,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,10449,97,1,220,220,1,0,-3.535038709640503,0.0,0.0,0.0,0.22,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,10569,98,1,220,220,1,0,-5.617098331451416,0.0,0.0,0.0,0.18,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,10689,99,1,220,220,1,0,-4.0571489334106445,0.0,0.0,0.0,0.19,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,10809,100,1,220,220,1,0,-5.948329448699951,0.0,0.0,0.0,0.09,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,10828,101,1,220,220,1,0,7.767930507659912,1.0,1.0,0.0,0.03,0.0,0,19,18,-1,-1,0.0
stage1a_single_agent_tiny,1,10948,102,1,220,220,1,0,-6.897237300872803,0.0,0.0,0.0,0.22,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,11068,103,1,220,220,1,0,-16.3411865234375,0.0,0.0,0.0,0.14,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,11115,104,1,220,220,1,0,7.467635631561279,1.0,1.0,0.0,0.09,0.0,0,47,46,-1,-1,0.0
stage1a_single_agent_tiny,1,11235,105,1,220,220,1,0,-4.24172830581665,0.0,0.0,0.0,0.19,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,11355,106,1,220,220,1,0,-11.742420196533203,0.0,0.0,0.0,0.13,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,11425,107,1,220,220,1,0,7.451218605041504,1.0,1.0,0.0,0.15,0.0,0,70,69,-1,-1,0.0
stage1a_single_agent_tiny,1,11545,108,1,220,220,1,0,-2.737513780593872,0.0,0.0,0.0,0.11,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,11665,109,1,220,220,1,0,-1.1233199834823608,0.0,0.0,0.0,0.17,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,11785,110,1,220,220,1,0,-2.6531407833099365,0.0,0.0,0.0,0.15,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,11905,111,1,220,220,1,0,-9.01358699798584,0.0,0.0,0.0,0.07,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,12025,112,1,220,220,1,0,-13.07140827178955,0.0,0.0,0.0,0.14,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,12135,113,1,220,220,1,0,-3.6411080360412598,1.0,1.0,0.0,0.11,0.0007575757801532746,1,110,109,-1,-1,0.0
stage1a_single_agent_tiny,1,12254,114,1,220,220,1,0,5.538591384887695,1.0,1.0,0.0,0.19,0.0,1,119,118,-1,-1,0.0
stage1a_single_agent_tiny,1,12374,115,1,220,220,1,0,-15.200023651123047,0.0,0.0,0.0,0.04,0.0,0,120,-1,-1,-1,0.0
